taxon,min_yr,max_yr,subfamily,tribe,genus,Amber Locale,Reference
Yantaromyrmex_mayrianum,33.9,38,Dolichoderinae,,Yantaromyrmex,Baltic,"Dlussky, G.M. & Dubovikoff, D.A. 2013. Yantaromyrmex gen. n. – a new ant genus (Hymenoptera Formicidae) from Late Eocene ambers of Europe. Caucasian Entomological Bulletin 9, 305-314."
Carebara_antiqua,2.588,3.6,Myrmicinae,Crematogastrini,Carebara,Baltic,"Emery, C. 1891b. Le formiche dell'ambra Siciliana nel Museo Mineralogico dell'Università di Bologna. Mem. R. Accad. Sci. Ist. Bologna (5)1:141-165 (page 577, Combination in Aeromyrma)"
Gesomyrmex_hoernesi,33.9,38,Formicinae,Gesomyrmecini,Gesomyrmex,Baltic,"Mayr, G. 1868c. Die Ameisen des baltischen Bernsteins. Beitr. Naturkd. Preuss. 1: 1-102"
Myrmica_eocenica,33.9,38,Myrmicinae,Myrmicini,Myrmica,Baltic,"Perkovsky, E.E. 2016. Tropical and Holoarctic ants in late Eocene ambers. Vestnik zoologii, 50(2): 111–122 (DOI 10.1515/vzoo-2016-0014)."
Myrmica_paradoxa,33.9,38,Myrmicinae,Myrmicini,Myrmica,Baltic,"Perkovsky, E.E. 2016. Tropical and Holoarctic ants in late Eocene ambers. Vestnik zoologii, 50(2): 111–122 (DOI 10.1515/vzoo-2016-0014)."
Tetramorium_paraarmatum,33.9,38,Myrmicinae,Crematogastrini,Tetramorium,Baltic,"Radchenko, A. G. & Dlussky, G. M. 2015. First record of fossil species of the genus Tetramorium (Hymenoptera, Formicidae). Vestnik Zoologii 49(4):311-316. PDF"
Liometopum_bogdassarovi,33.9,38,Dolichoderinae,,Liometopum,Belarus,"Heterick, B.E. & Shattuck, S.O. 2011. Revision of the ant genus Iridomyrmex (Hymenoptera: Formicidae). Zootaxa 2845: 1–174."
Agastomyrma_laticeps,33.9,38,Myrmicinae,,Agastomyrma,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Biamomyrma_lata,33.9,38,Myrmicinae,,Biamomyrma,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Biamomyrma_rugosa,33.9,38,Myrmicinae,,Biamomyrma,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Biamomyrma_zherikhini,33.9,38,Myrmicinae,,Biamomyrma,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Casaleia_orientalis,33.9,38,Amblyoponinae,,Casaleia,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Dolichoderus_pinguis,33.9,38,Dolichoderinae,,Dolichoderus,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
Emplastus_biamoensis,33.9,38,Dolichoderinae,,Emplastus,Bolshaya Svetlovodnaya,"G. M. Dlussky, A. P. Rasnitsyn, and K. S. Perfilieva. 2015. The ants (Hymenoptera: Formicidae) of Bol'shaya Svetlovodnaya (late Eocene of Sikhote-Alin, Russian far east). Caucasian Entomological Bulletin 11:131-152"
