#NEXUS
Begin data;
	DIMENSIONS NTAX=703  NCHAR=1;
  Format datatype=Continuous missing=? gap=-;
	MATRIX
Myrmisaraka_brevis	16.3994794933143
Aphaenogaster_araneoides	12.1496080463752
Romblonella_scrobifera	11.5481562860924
Strumigenys_hoplites	4.23897759378307
Epelysidris_brocha	2.54122064791731
Atta_texana	2.87392772132146
Adlerzia_froggatti	4.84890308208396
Malagidris_belti	4.4949260286809
Monomorium_MG04	2.71759893589433
Solenopsis_xyloni	1.15191277012288
Metapone_PG01	6.53723721422823
Rhopalomastix_janeti	6.46152995958286
Eurhopalothrix_philippina	5.9982541869388
Solenopsis_mameti	5.55795199618404
Wasmannia_auropunctata	10.3417333562291
Goniomma_blanci	15.0054295509687
Phalacromyrmex_fugax	4.95247944293902
Liomyrmex_gestroi	6.27169294644616
Tetramorium_transversinodis	8.48647953333214
Pogonomyrmex_angustus	13.4661743727681
Dilobocondyla_sp	12.0106953058572
Cryptomyrmex_boltoni	13.1934847307946
Monomorium_denticulatum	16.0166738491972
Pheidole_lucioccipitalis	16.0439663889899
Calyptomyrmex_kaurus	16.6163669142317
Pristomyrmex_orbiceps	18.5960376348764
Veromessor_andrei	16.2946996916147
Mycetarotes_acutus	17.483338234735
Manica_bradleyi	15.1483011779921
Xenomyrmex_floridanus	18.7861612927553
Temnothorax_poeyi	12.5658106062283
Tetramorium_validiusculum	12.3760187966528
Solenopsis_ZA02	12.2233426566429
Harpagoxenus_sublaevis	14.7064831446242
Carebara_nosindambo	14.2070205909
Apterostigma_sp	13.9038996865303
Monomorium_antarcticum	17.6216223086653
Mycetagroicus_triangularis_GenBank	17.5814157705423
Acanthognathus_ocellatus	16.4617281052562
Baracidris_sitra	17.7637837734324
Carebara_alperti	22.2175185392765
Vollenhovia_sp	20.6655725855323
Myrmicaria_carinata	21.9091126669949
Procryptocerus_scabriusculus	23.3887239935881
Stenamma_snellingi	20.5717124328549
Ochetomyrmex_neopolitus	20.7221876985141
Nesomyrmex_wilda	21.8303981242041
Cephalotes_unimaculatus	21.036504166402
Myrmica_striolagaster	20.1728001468643
Cyphomyrmex_sp	19.6540278991287
Tetramorium_caespitum_cf	20.0634639782248
Cataulacus_ebrardi	20.4184818904045
Leptothorax_muscorum_complex	19.5570358242016
Pheidole_pallidula	19.9792295993844
Calyptomyrmex_beccari	20.8940754644299
Aphaenogaster_occidentalis	14.7312016567141
Trichomyrmex_criniceps	15.2991696114624
Microdaceton_tibialis	14.4944370287777
Diaphoromyrma_sofiae	16.2021080659639
Anillomyrma_decamera	17.2207645354012
Daceton_armigerum	19.438845920143
Diplomorium_longipenne	23.173635991534
Monomorium_exiguum	17.0822469150745
Tetramorium_spinosum	23.3910791555538
Mycetophylax_conformis_GenBank	23.8793648812232
Syllophopsis_fisheri	25.0193710857221
Strumigenys_godeffroyi	25.7588217173102
Cephalotes_atratus	26.5506828730378
Messor_denticornis	23.5328573404363
Nesomyrmex_MG01	23.0255089379434
Stenamma_dyscheres	23.5342179169882
Pogonomyrmex_maricopa	26.299183162298
Kalathomyrmex_emeryi	15.6261248307881
Trichomyrmex_robustior	11.9914711364818
Atopomyrmex_mocquerysi	15.2678903390517
Terataner_MG02	16.9965916120047
Myrmicaria_exigua	19.6040941923795
Solenopsis_papuana	21.3979235142098
Temnothorax_rugatulus	24.44655679924
Lophomyrmex_striatulus	25.194670305178
Pogonomyrmex_striatinodus	23.222353050695
Paratopula_TH01	24.6503927735884
Pogonomyrmex_imberbiculus	25.0300563893476
Dilobocondyla_borneensis_cf	24.6227452105721
Cataulacus_MAD02	23.6137329162291
Huberia_brounii	21.9508488156023
Proatta_butteli	23.5887676535874
Tranopelta_subterranea	22.5942800505065
Temnothorax_bernardi	26.302804511539
Myrmica_tahoensis	24.957075078798
Crematogaster_navajoa	24.1634272074807
Strumigenys_gundlachi	25.4479138778939
Crematogaster_sordidula	22.4378951731987
Strumigenys_pulchella	23.8767741681982
Ancyridris_polyrhachioides_nr	26.6449853415049
Concoctio_concenta	23.9814403922162
Temnothorax_tricarinatus	24.4246632953721
Epopostruma_monstrosa	20.3704888922598
Crematogaster_acuta	20.8409174759662
Cardiocondyla_MY01	24.4226087372206
Rhopalothrix_isthmica	19.8528154217291
Pogonomyrmex_subdentatus	21.8647725225326
